epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,9.5841,1.53651,4.05107,1.29677,0,0,0,0,0.84745,3.69801,0.82334,0,0,0,0,0,0,0,0
2,10.2916,1.63708,4.56464,1.22276,0,0,0,0,0.84153,3.70418,0.82066,5.9802e-05,1.9934e-05,5.9802e-05,1.9934e-05,5.9802e-05,1.9934e-05,5.9802e-05,1.9934e-05
3,10.7683,1.52841,4.2166,1.29019,0,0,0,0,0.83929,3.70304,0.82029,0.000119208,3.9736e-05,0.000119208,3.9736e-05,0.000119208,3.9736e-05,0.000119208,3.9736e-05
4,11.1749,1.69765,4.67706,1.30757,0,0,0,0,0.83839,3.71164,0.81844,0.000178218,5.9406e-05,0.000178218,5.9406e-05,0.000178218,5.9406e-05,0.000178218,5.9406e-05
5,11.5803,1.61408,4.04,1.38461,0,0,0,0,0.83107,3.71358,0.8169,0.000236832,7.8944e-05,0.000236832,7.8944e-05,0.000236832,7.8944e-05,0.000236832,7.8944e-05
6,12.726,1.36441,4.76287,1.14219,0,0,0,0,0.82791,3.71239,0.81481,0.00029505,9.835e-05,0.00029505,9.835e-05,0.00029505,9.835e-05,0.00029505,9.835e-05
7,13.5707,1.36238,4.18675,1.20444,0,0,0,0,0.8114,3.70349,0.81408,0.000352872,0.000117624,0.000352872,0.000117624,0.000352872,0.000117624,0.000352872,0.000117624
8,14.2863,1.08465,3.86802,1.00744,0,0,0,0,0.80458,3.70549,0.80901,0.000410298,0.000136766,0.000410298,0.000136766,0.000410298,0.000136766,0.000410298,0.000136766
9,15.0162,1.11146,4.63324,1.04116,0,0,0,0,0.79431,3.71372,0.80756,0.000467328,0.000155776,0.000467328,0.000155776,0.000467328,0.000155776,0.000467328,0.000155776
10,15.7246,1.51101,4.23538,1.14512,0,0,0,0,0.79067,3.68893,0.80494,0.000523962,0.000174654,0.000523962,0.000174654,0.000523962,0.000174654,0.000523962,0.000174654
11,16.4244,1.32352,3.63874,1.13059,0,0,0,0,0.76675,3.68742,0.80089,0.0005802,0.0001934,0.0005802,0.0001934,0.0005802,0.0001934,0.0005802,0.0001934
12,17.1118,1.5154,3.43912,1.13492,0,0,0,0,0.75956,3.686,0.79746,0.000636042,0.000212014,0.000636042,0.000212014,0.000636042,0.000212014,0.000636042,0.000212014
13,17.8091,1.21293,3.77173,1.08531,0.00167,0.5,0.00146,0.00015,0.73093,3.68705,0.79462,0.000691488,0.000230496,0.000691488,0.000230496,0.000691488,0.000230496,0.000691488,0.000230496
14,18.5424,0.97726,3.79151,0.91319,0.00333,1,0.00366,0.00117,0.75117,3.67296,0.79547,0.000746538,0.000248846,0.000746538,0.000248846,0.000746538,0.000248846,0.000746538,0.000248846
15,19.3116,1.4499,4.0611,1.14704,0.00333,1,0.00385,0.00324,0.77027,3.66201,0.79536,0.000801192,0.000267064,0.000801192,0.000267064,0.000801192,0.000267064,0.000801192,0.000267064
16,20.3842,1.06481,3.82649,1.03924,0.00333,1,0.00494,0.00412,0.78704,3.65611,0.79402,0.00085545,0.00028515,0.00085545,0.00028515,0.00085545,0.00028515,0.00085545,0.00028515
17,21.1202,1.03933,3.93802,1.07165,0.00333,1,0.00514,0.00428,0.7938,3.66015,0.79386,0.000909312,0.000303104,0.000909312,0.000303104,0.000909312,0.000303104,0.000909312,0.000303104
18,21.6366,1.12125,3.73802,1.04922,0.00333,1,0.00514,0.00428,0.7938,3.66015,0.79386,0.000962778,0.000320926,0.000962778,0.000320926,0.000962778,0.000320926,0.000962778,0.000320926
19,22.3653,0.90982,3.63637,0.94885,0.00333,1,0.00528,0.0044,0.80273,3.65558,0.794,0.00101585,0.000338616,0.00101585,0.000338616,0.00101585,0.000338616,0.00101585,0.000338616
20,22.9029,0.97309,3.45632,0.99982,0.00333,1,0.00528,0.0044,0.80273,3.65558,0.794,0.00106852,0.000356174,0.00106852,0.000356174,0.00106852,0.000356174,0.00106852,0.000356174
21,23.6184,1.10789,3.91553,0.99818,0.00333,1,0.00536,0.00447,0.79622,3.61932,0.79202,0.0011208,0.0003736,0.0011208,0.0003736,0.0011208,0.0003736,0.0011208,0.0003736
22,24.1452,1.24083,3.69558,1.03974,0.00333,1,0.00536,0.00447,0.79622,3.61932,0.79202,0.00117268,0.000390894,0.00117268,0.000390894,0.00117268,0.000390894,0.00117268,0.000390894
23,24.8458,0.89911,4.0021,1.00345,0.00333,1,0.49772,0.05374,0.80247,3.62422,0.78805,0.00122417,0.000408056,0.00122417,0.000408056,0.00122417,0.000408056,0.00122417,0.000408056
24,25.546,1.15326,5.04819,1.12961,0.00333,1,0.49772,0.05374,0.80247,3.62422,0.78805,0.00127526,0.000425086,0.00127526,0.000425086,0.00127526,0.000425086,0.00127526,0.000425086
25,26.2329,0.97533,3.25632,0.99919,0.00333,1,0.49772,0.25065,0.79391,3.62988,0.78692,0.00132595,0.000441984,0.00132595,0.000441984,0.00132595,0.000441984,0.00132595,0.000441984
26,26.7954,1.15151,3.62375,1.0518,0.00333,1,0.49772,0.25065,0.79391,3.62988,0.78692,0.00137625,0.00045875,0.00137625,0.00045875,0.00137625,0.00045875,0.00137625,0.00045875
27,27.4732,0.86075,3.18349,0.93013,0.00333,1,0.49771,0.34875,0.82982,3.61278,0.8032,0.00142615,0.000475384,0.00142615,0.000475384,0.00142615,0.000475384,0.00142615,0.000475384
28,27.9968,0.7995,4.53033,0.86643,0.00333,1,0.49771,0.34875,0.82982,3.61278,0.8032,0.00147566,0.000491886,0.00147566,0.000491886,0.00147566,0.000491886,0.00147566,0.000491886
29,28.6707,1.09831,3.28584,0.97831,0.00333,1,0.49775,0.39838,0.77523,3.71882,0.8088,0.00152477,0.000508256,0.00152477,0.000508256,0.00152477,0.000508256,0.00152477,0.000508256
30,29.1725,0.953,3.22125,0.91229,0.00333,1,0.49775,0.39838,0.77523,3.71882,0.8088,0.00157348,0.000524494,0.00157348,0.000524494,0.00157348,0.000524494,0.00157348,0.000524494
31,29.862,0.88584,4.07826,0.96544,0.00333,1,0.49778,0.3984,0.72724,3.56497,0.81834,0.0016218,0.0005406,0.0016218,0.0005406,0.0016218,0.0005406,0.0016218,0.0005406
32,30.3513,0.72649,3.29228,0.84083,0.00333,1,0.49778,0.3984,0.72724,3.56497,0.81834,0.00166972,0.000556574,0.00166972,0.000556574,0.00166972,0.000556574,0.00166972,0.000556574
33,31.037,0.87458,3.2459,0.89619,0.40653,0.5,0.49774,0.39837,0.65496,3.41852,0.82103,0.00171725,0.000572416,0.00171725,0.000572416,0.00171725,0.000572416,0.00171725,0.000572416
34,31.521,0.73141,3.22835,0.8643,0.40653,0.5,0.49774,0.39837,0.65496,3.41852,0.82103,0.00176438,0.000588126,0.00176438,0.000588126,0.00176438,0.000588126,0.00176438,0.000588126
35,32.1929,0.90394,3.50989,1.01328,0.69707,0.5,0.49771,0.39834,0.60843,3.32287,0.81666,0.00181111,0.000603704,0.00181111,0.000603704,0.00181111,0.000603704,0.00181111,0.000603704
36,32.6805,0.71687,3.29788,0.90573,0.69707,0.5,0.49771,0.39834,0.60843,3.32287,0.81666,0.00185745,0.00061915,0.00185745,0.00061915,0.00185745,0.00061915,0.00185745,0.00061915
37,33.3554,0.92686,3.37917,0.97584,0.81778,0.5,0.60611,0.47529,0.59413,3.27249,0.81369,0.00190339,0.000634464,0.00190339,0.000634464,0.00190339,0.000634464,0.00190339,0.000634464
38,33.8527,0.51225,3.34054,0.83603,0.81778,0.5,0.60611,0.47529,0.59413,3.27249,0.81369,0.00194894,0.000649646,0.00194894,0.000649646,0.00194894,0.000649646,0.00194894,0.000649646
39,34.5383,0.61387,2.79817,0.79837,0.87081,0.5,0.63786,0.5174,0.63332,3.18414,0.81189,0.00199409,0.000664696,0.00199409,0.000664696,0.00199409,0.000664696,0.00199409,0.000664696
40,35.0277,0.77004,3.02169,0.90703,0.87081,0.5,0.63786,0.5174,0.63332,3.18414,0.81189,0.00203884,0.000679614,0.00203884,0.000679614,0.00203884,0.000679614,0.00203884,0.000679614
41,35.6881,0.61894,2.86668,0.86421,0.9029,0.5,0.82833,0.7455,0.67504,3.10272,0.81545,0.0020832,0.0006944,0.0020832,0.0006944,0.0020832,0.0006944,0.0020832,0.0006944
42,36.1845,0.74828,2.66039,0.82126,0.9029,0.5,0.82833,0.7455,0.67504,3.10272,0.81545,0.00212716,0.000709054,0.00212716,0.000709054,0.00212716,0.000709054,0.00212716,0.000709054
43,36.8742,0.60718,2.69388,0.82774,1,0.92534,0.995,0.82079,0.65772,2.87217,0.81176,0.00217073,0.000723576,0.00217073,0.000723576,0.00217073,0.000723576,0.00217073,0.000723576
44,37.4101,0.61661,2.14122,0.83617,1,0.92534,0.995,0.82079,0.65772,2.87217,0.81176,0.0022139,0.000737966,0.0022139,0.000737966,0.0022139,0.000737966,0.0022139,0.000737966
45,38.1021,0.95003,3.00154,1.01484,1,0.95163,0.995,0.8955,0.62005,2.68463,0.80645,0.00225667,0.000752224,0.00225667,0.000752224,0.00225667,0.000752224,0.00225667,0.000752224
46,38.5899,0.62727,2.10366,0.82259,1,0.95163,0.995,0.8955,0.62005,2.68463,0.80645,0.00229905,0.00076635,0.00229905,0.00076635,0.00229905,0.00076635,0.00229905,0.00076635
47,39.4585,0.77653,2.45153,1.01334,1,0.97611,0.995,0.8955,0.58293,2.43592,0.80042,0.00234103,0.000780344,0.00234103,0.000780344,0.00234103,0.000780344,0.00234103,0.000780344
48,39.9577,0.77153,1.96662,0.90986,1,0.97611,0.995,0.8955,0.58293,2.43592,0.80042,0.00238262,0.000794206,0.00238262,0.000794206,0.00238262,0.000794206,0.00238262,0.000794206
49,40.639,0.79385,2.26809,0.89718,0.99333,1,0.995,0.82079,0.58452,2.21102,0.78174,0.00242381,0.000807936,0.00242381,0.000807936,0.00242381,0.000807936,0.00242381,0.000807936
50,41.1154,0.53457,1.6138,0.86907,0.99333,1,0.995,0.82079,0.58452,2.21102,0.78174,0.0024646,0.000821534,0.0024646,0.000821534,0.0024646,0.000821534,0.0024646,0.000821534
51,41.7839,0.53364,1.60758,0.85861,0.97631,1,0.995,0.82079,0.59191,2.16121,0.77791,0.002505,0.000835,0.002505,0.000835,0.002505,0.000835,0.002505,0.000835
52,42.2692,0.53533,1.73914,0.83769,0.97631,1,0.995,0.82079,0.59191,2.16121,0.77791,0.002545,0.000848334,0.002545,0.000848334,0.002545,0.000848334,0.002545,0.000848334
53,42.7484,0.61152,1.43598,0.89159,0.97631,1,0.995,0.82079,0.59191,2.16121,0.77791,0.00258461,0.000861536,0.00258461,0.000861536,0.00258461,0.000861536,0.00258461,0.000861536
54,43.4213,0.85368,1.9735,0.91766,0.97193,1,0.995,0.8955,0.4706,1.97487,0.77518,0.00262382,0.000874606,0.00262382,0.000874606,0.00262382,0.000874606,0.00262382,0.000874606
55,43.9164,0.53393,1.57902,0.81685,0.97193,1,0.995,0.8955,0.4706,1.97487,0.77518,0.00266263,0.000887544,0.00266263,0.000887544,0.00266263,0.000887544,0.00266263,0.000887544
56,44.4072,0.61508,1.40454,0.85931,0.97193,1,0.995,0.8955,0.4706,1.97487,0.77518,0.00270105,0.00090035,0.00270105,0.00090035,0.00270105,0.00090035,0.00270105,0.00090035
57,45.0881,0.46412,1.68212,0.75383,0.97853,1,0.995,0.995,0.40853,1.89204,0.77017,0.00273907,0.000913024,0.00273907,0.000913024,0.00273907,0.000913024,0.00273907,0.000913024
58,45.5724,0.52033,1.14782,0.82441,0.97853,1,0.995,0.995,0.40853,1.89204,0.77017,0.0027767,0.000925566,0.0027767,0.000925566,0.0027767,0.000925566,0.0027767,0.000925566
59,46.0652,0.62439,1.52264,0.82791,0.97853,1,0.995,0.995,0.40853,1.89204,0.77017,0.00281393,0.000937976,0.00281393,0.000937976,0.00281393,0.000937976,0.00281393,0.000937976
60,46.7818,0.5228,1.5857,0.81608,0.98043,1,0.995,0.94504,0.45847,1.81298,0.77069,0.00285076,0.000950254,0.00285076,0.000950254,0.00285076,0.000950254,0.00285076,0.000950254
61,47.2795,0.44948,1.1172,0.8232,0.98043,1,0.995,0.94504,0.45847,1.81298,0.77069,0.0028872,0.0009624,0.0028872,0.0009624,0.0028872,0.0009624,0.0028872,0.0009624
62,47.7768,0.53514,1.38498,0.8191,0.98043,1,0.995,0.94504,0.45847,1.81298,0.77069,0.00292324,0.000974414,0.00292324,0.000974414,0.00292324,0.000974414,0.00292324,0.000974414
63,48.4714,0.56758,1.54155,0.83129,0.98145,1,0.995,0.94504,0.39706,1.71426,0.76521,0.00295889,0.000986296,0.00295889,0.000986296,0.00295889,0.000986296,0.00295889,0.000986296
64,48.9793,0.55649,1.3702,0.80816,0.98145,1,0.995,0.94504,0.39706,1.71426,0.76521,0.00299414,0.000998046,0.00299414,0.000998046,0.00299414,0.000998046,0.00299414,0.000998046
65,49.466,0.63296,1.69318,0.92751,0.98145,1,0.995,0.94504,0.39706,1.71426,0.76521,0.00302899,0.00100966,0.00302899,0.00100966,0.00302899,0.00100966,0.00302899,0.00100966
66,50.1475,0.61329,1.37788,0.82396,0.98179,1,0.995,0.995,0.41939,1.69837,0.76716,0.00306345,0.00102115,0.00306345,0.00102115,0.00306345,0.00102115,0.00306345,0.00102115
67,50.644,0.40508,0.96818,0.78545,0.98179,1,0.995,0.995,0.41939,1.69837,0.76716,0.00309751,0.0010325,0.00309751,0.0010325,0.00309751,0.0010325,0.00309751,0.0010325
68,51.1352,0.41775,1.95045,0.80094,0.98179,1,0.995,0.995,0.41939,1.69837,0.76716,0.00313118,0.00104373,0.00313118,0.00104373,0.00313118,0.00104373,0.00313118,0.00104373
69,51.8027,0.528,1.57004,0.77873,0.9821,1,0.995,0.995,0.42199,1.65231,0.7676,0.00316445,0.00105482,0.00316445,0.00105482,0.00316445,0.00105482,0.00316445,0.00105482
70,52.3092,0.58516,1.54113,0.8171,0.9821,1,0.995,0.995,0.42199,1.65231,0.7676,0.00319732,0.00106577,0.00319732,0.00106577,0.00319732,0.00106577,0.00319732,0.00106577
71,53.0007,0.48996,1.8801,0.82389,0.9821,1,0.995,0.995,0.42199,1.65231,0.7676,0.0032298,0.0010766,0.0032298,0.0010766,0.0032298,0.0010766,0.0032298,0.0010766
72,53.6902,0.60527,1.10458,0.79511,0.98237,1,0.995,0.92029,0.41745,1.69923,0.76559,0.00326188,0.00108729,0.00326188,0.00108729,0.00326188,0.00108729,0.00326188,0.00108729
73,54.1702,0.55684,1.35585,0.7886,0.98237,1,0.995,0.92029,0.41745,1.69923,0.76559,0.00329357,0.00109786,0.00329357,0.00109786,0.00329357,0.00109786,0.00329357,0.00109786
74,54.6633,0.45038,1.56166,0.842,0.98237,1,0.995,0.92029,0.41745,1.69923,0.76559,0.00332486,0.00110829,0.00332486,0.00110829,0.00332486,0.00110829,0.00332486,0.00110829
75,55.4216,0.46568,1.32501,0.8,0.98219,1,0.995,0.8955,0.50888,1.66843,0.76574,0.00335575,0.00111858,0.00335575,0.00111858,0.00335575,0.00111858,0.00335575,0.00111858
76,55.9203,0.66565,1.34195,0.93032,0.98219,1,0.995,0.8955,0.50888,1.66843,0.76574,0.00338625,0.00112875,0.00338625,0.00112875,0.00338625,0.00112875,0.00338625,0.00112875
